time,x,y,z,ref_x,ref_y,ref_z
0,0,0,0,2,0,2
0.01,3.91289e-06,3.5872e-09,0.00190152,1.99997,0.00999996,2
0.02,5.31976e-05,2.43151e-07,0.007208,1.9999,0.0199997,2
0.03,0.000227845,2.41126e-06,0.0154112,1.99978,0.0299989,2
0.04,0.000543564,4.60241e-06,0.0253186,1.9996,0.0399973,2
0.05,0.000980579,2.08257e-06,0.0359399,1.99937,0.0499948,2
0.06,0.00156808,-9.57661e-06,0.0474481,1.9991,0.059991,2
0.07,0.00228192,-3.10725e-05,0.0594687,1.99878,0.0699857,2
0.08,0.00306827,-5.99564e-05,0.0713681,1.9984,0.0799787,2
0.09,0.00391236,-9.56045e-05,0.0830224,1.99798,0.0899696,2
0.1,0.00481606,-0.000138643,0.0945575,1.9975,0.0999583,2
0.11,0.00576552,-0.000188019,0.10587,1.99698,0.109945,2
0.12,0.00674944,-0.00024465,0.116904,1.9964,0.119928,2
0.13,0.00777344,-0.000315875,0.127946,1.99578,0.129908,2
0.14,0.00882654,-0.000401584,0.138809,1.9951,0.139886,2
0.15,0.00990039,-0.000500618,0.149326,1.99438,0.149859,2
0.16,0.0110067,-0.000622402,0.159979,1.9936,0.159829,2
0.17,0.0121371,-0.00076127,0.170583,1.99278,0.169795,2
0.18,0.0132824,-0.000909814,0.180939,1.99191,0.179757,2
0.19,0.0144468,-0.00106799,0.191404,1.99098,0.189714,2
0.2,0.0156259,-0.00123002,0.201772,1.99001,0.199667,2
0.21,0.016814,-0.00139115,0.211719,1.98899,0.209614,2
0.22,0.0180175,-0.00154645,0.221667,1.98791,0.219557,2
0.23,0.0192402,-0.00169188,0.231882,1.98679,0.229493,2
0.24,0.0204786,-0.00182579,0.24212,1.98562,0.239424,2
0.25,0.0217303,-0.00194719,0.252243,1.9844,0.249349,2
0.26,0.0229932,-0.00205395,0.262298,1.98312,0.259268,2
0.27,0.0242654,-0.00214533,0.272295,1.9818,0.269181,2
0.28,0.0255453,-0.00221942,0.282275,1.98043,0.279086,2
0.29,0.0268311,-0.00227432,0.292253,1.97901,0.288985,2
0.3,0.028122,-0.00231086,0.302145,1.97754,0.298876,2
0.31,0.0294192,-0.00232774,0.312011,1.97602,0.30876,2
0.32,0.0307231,-0.00232241,0.321945,1.97445,0.318636,2
0.33,0.0320325,-0.00229433,0.331955,1.97284,0.328505,2
0.34,0.0333471,-0.00224694,0.341882,1.97117,0.338365,2
0.35,0.0346682,-0.00218016,0.351726,1.96945,0.348216,2
0.36,0.0359964,-0.00209418,0.361433,1.96769,0.358059,2
0.37,0.0373328,-0.00198248,0.371164,1.96587,0.367893,2
0.38,0.0386771,-0.00184021,0.381056,1.96401,0.377718,2
0.39,0.0400257,-0.00167895,0.390665,1.9621,0.387533,2
0.4,0.0413783,-0.0014973,0.399952,1.96013,0.397339,2
0.41,0.0427371,-0.00128391,0.409227,1.95812,0.407134,2
0.42,0.0441043,-0.00103208,0.418642,1.95606,0.41692,2
0.43,0.0454799,-0.00074179,0.428198,1.95395,0.426695,2
0.44,0.0468603,-0.000427017,0.437549,1.95179,0.436459,2
0.45,0.0482455,-9.18451e-05,0.446744,1.94959,0.446213,2
0.46,0.0496374,0.000262121,0.455953,1.94733,0.455955,2
0.47,0.0510382,0.000630598,0.465166,1.94503,0.465686,2
0.48,0.0524488,0.00101058,0.474257,1.94268,0.475405,2
0.49,0.0538701,0.00140165,0.483164,1.94027,0.485112,2
0.5,0.0553071,0.00181106,0.492149,1.93782,0.494808,2
0.51,0.0567641,0.00224447,0.501369,1.93533,0.504491,2
0.52,0.0582382,0.00269698,0.510614,1.93278,0.514161,2
0.53,0.0597278,0.00316603,0.519837,1.93019,0.523818,2
0.54,0.0612305,0.00364999,0.528967,1.92754,0.533463,2
0.55,0.0627428,0.00414637,0.537904,1.92485,0.543094,2
0.56,0.0642648,0.00465555,0.546764,1.92211,0.552711,2
0.57,0.0657945,0.00517358,0.555411,1.91932,0.562315,2
0.58,0.0673333,0.00569787,0.563887,1.91649,0.571904,2
0.59,0.0688849,0.00622629,0.572328,1.9136,0.581479,2
0.6,0.0704556,0.0067572,0.580822,1.91067,0.59104,2
0.61,0.0720543,0.00728925,0.589538,1.90769,0.600586,2
0.62,0.0736825,0.0078199,0.598409,1.90467,0.610117,2
0.63,0.0753335,0.00834659,0.607164,1.90159,0.619633,2
0.64,0.0770035,0.00886719,0.615791,1.89847,0.629133,2
